Title,Company,Location,Type,Level,YearsExp,Country,Skills
Banking Customer Care Agent,Raya Contact Center,6th of October,Full Time,Shift Based,0-1 Yrs of Exp,Giza,"300 Vacancies, Males Only, Call Center, Customer Support, Customer Service, Customer Care, Banking, Communication Skills, English"
Batch Plant Manager,Unimix Egypt for Readymix concrete,Alexandria,Full Time,Manager,3-5 Yrs of Exp,Egypt,"Concrete, Constructions, Six Sigma, Engineering - Construction/Civil/Architecture"
Beauty Advisor - Gulf Area,Confidential,Victoria,Part Time,Freelance / Project,0-1 Yrs of Exp,Alexandria,"0-1 Yrs of Exp, 10 Vacancies, Pharmacy, Science, Beauty, Cosmetics, Gulf Area, R&D/Science, Customer Service/Support"
Bentley Automotive Sales Executive,MTI Automotive,Heliopolis,Full Time,Entry Level,1+ Yrs of Exp,Cairo,"Sales Skills, Customer Service, Customer Care, Automotive Sales, Sales Target, English, Sales/Retail"
Bioinformatics Intern,Proteinea,Downtown,Internship,Entry Level,0-1 Yrs of Exp,Cairo,"Engineering, Science, Biotechnology, Bioinformatics, Computational Biology, Python, Perl, C, C++, R&D/Science"
Biology Teacher - Oman,Alam Almaarifa,Muscat,Full Time,Experienced,3-5 Yrs of Exp,Oman,"Females Preferred, Biology Teaching, Eduacation, Education/Teaching"
Biomedical Manager,Confidential,Alexandria,Full Time,Experienced,5-20 Yrs of Exp,Egypt,"Pharmacy, Medical/Healthcare, Pharmaceutical, Engineering - Other"
Biomedical Sales Engineer - Medical Devices,Wadi El-Neel International for Importing & Trading,Nasr City,Full Time,Experienced,3+ Yrs of Exp,Cairo,"Sales Traget, Biomedical Engineering, Sales Engineering, Medical Devices, Biomedical Engineer, Medical/Healthcare, Sales/Retail"
Biotechnologist - Plant Tissue Culture,Egyptian French Company for Plants Tissue Culture S.A.E,Obour City,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Females Preferred, Plant Tissue Culture, Biotechnology, Micropropagation, Plant Science, Agriculture, Engineering, English"
Blocks Quality Control Manager,Pretty House,10th of Ramadan City,Full Time,Manager,5-10 Yrs of Exp,Cairo,"Testing, Quality Assurance, Engineering, Maintenance, Inspection, TO, Implementation, Manufacturing/Production, Quality"
Blogger / Content Writer (Internship),Businessita Women Empowerment,Cairo,Internship,Student,0-1 Yrs of Exp,Egypt,"Editing, Writing Skills, Media, Content Writing, Content Development, Arabic, English, Blogging, Writing/Editorial"
Body & Paint Service Advisor Engineer -...,Mitsubishi Motors (DMC),Giza,Full Time,Entry Level,1+ Yrs of Exp,Egypt,"Customer Service, Mechanical Engineering, Customer Care, English, Body & Paint, Sales Skills, Quality, Customer Service/Support"
Body Paint Service Engineer,Confidential,Mansoura,Full Time,Experienced,3+ Yrs of Exp,Dakahlia,"English, Computer Skills, Microsoft Office, Body Paint, Automotive, Engineering - Mechanical/Electrical"
Bookkeeper/ Accountant (Females),Mishkat Nour,Nasr City,Full Time,Experienced,4-7 Yrs of Exp,Cairo,"Females Only, Bookkeeping, Accounting, Finance, Financial Analysis, Accounting/Finance"
Branch Manager,Arafa Market,Fayoum,Full Time,Manager,5-7 Yrs of Exp,Fayoum,"Males Only, Planning, Customer Service, Operations, Sales Skills, Customer Care, Customer Support, Customer Service/Support"
Branch Manager,Care Clinics,New Cairo,Full Time,Manager,3-5 Yrs of Exp,Cairo,"Customer Service, Management, Admin, Branch Management, Medical, Microsoft Office, Sales Skills, Administration, Operations/Management"
Branch Manager,MWG,Sidi Gaber,Full Time,Manager,2+ Yrs of Exp,Alexandria,"Branch Management, Sales Skills, Customer Care, English, Customer Service/Support, Operations/Management, Sales/Retail"
Branch Manager,Tawzef,Heliopolis,Full Time,Manager,4-5 Yrs of Exp,Cairo,"Customer Service, Retail, Fashion, Communication Skills, Management, Operations/Management, Sales/Retail, Fashion"
Branch Manager,Zikry-Pharmacies,Heliopolis,Full Time,Manager,5+ Yrs of Exp,Cairo,"Pharmacy, Community Pharmacies, Branch Operations, Sales Skills, Customer Service, Operations/Management, Sales/Retail, Pharmaceutical"
Branch Manager (Ladies Fitness Center),Smart GYM,Cairo,Full Time,Manager,5+ Yrs of Exp,Egypt,"Customer Service, Customer Care, Branch Management, Fitness, Sports, Business Administration, Marketing, Hotel Systems, English, Sales"
Branch Manager (Retail Store),Mr. Tailor,Cairo,Full Time,Experienced,2-5 Yrs of Exp,Egypt,"Operation, Sales Skills, Branch Management, Retail, Customer Service, Customer Care, Customer Support, Stores Management, English"
Branch Manager - Furniture,Blend Furniture,Nasr City,Full Time,Manager,5+ Yrs of Exp,Cairo,"Sales Skills, Sales Target, Indoor Sales, Microsoft Office, Retail, Furniture Sales, Sales System, English, Interior Design, Arabic"
Branch Manager - Maadi,4level1,Maadi,Full Time,Manager,2-3 Yrs of Exp,Cairo,"Customer Service, Branch Management, Administration, Communication, Retail, Customer Service/Support, Operations/Management, Sales/Retail"
Branch Manager - Nasr City,4level1,Nasr City,Full Time,Manager,2-3 Yrs of Exp,Cairo,"Customer Service, Branch Management, Administration, Communication, Retail, Customer Service/Support, Operations/Management, Sales/Retail"
Branch Manager - Port Said,Nascotours S.AE,Port Said,Full Time,Manager,5+ Yrs of Exp,Egypt,"Sales Skills, Tour Operator, Business Development, Contracting, Sales Target, Branch Management, Operations, Shipping, Travel, Ticketing"
Branch Manager(Minya),B.Tech,Mallawi,Full Time,Manager,8-10 Yrs of Exp,Minya,"Sales Target, Branch Management, Administration, Communication Skills, Branch Manager, Sales/Retail"
Branch Manager(Monufya),B.Tech,Quweisna,Full Time,Manager,7-9 Yrs of Exp,Monufya,"Communication Skills, Branch Manager, Management, Sales Target, Retail, Sales/Retail"
Brand Executive,Premier Services and Recruitment,New Cairo,Full Time,Entry Level,0-2 Yrs of Exp,Cairo,"Advertising, Digital Marketing, Business Administration, Social Media Campaigns, Marketing/PR/Advertising, Media/Journalism/Publishing"
Brand Manager,360Imaging,Dokki,Full Time,Work From Home,10+ Yrs of Exp,Giza,"SEO, E-marketing, Public Relations (PR), Social Media, Google Analytics, Digital Marketing, Brand Research, Operations, Branding"
Brand Manager,Egyptian Company for Trading Industry and International Agents,6th of October,Full Time,Manager,5+ Yrs of Exp,Giza,"Marketing Campaigns, Leadership, Communication Skills, Fashion, Market Research, Retail, Clothes, Operations/Management, Sales/Retail"
Brand Manager,Nola Bakery,New Cairo,Full Time,Experienced,4+ Yrs of Exp,Cairo,"Advertising, Brand Management, FMCG, Market Research, Branding, English, Food, Marketing/PR/Advertising, Media/Journalism/Publishing"
Brand Manager,Saeid Rabie men salon,Smouha,Full Time,Manager,2-4 Yrs of Exp,Alexandria,"Management, Branding, Marketing, Social Media, Market Research, Marketing/PR/Advertising, Sales/Retail, Media/Journalism/Publishing"
Brand Manager,Sima Food Industries,Heliopolis,Full Time,Manager,5+ Yrs of Exp,Cairo,"Marketing, Branding, Social Media, Market Research, Communication, Marketing/PR/Advertising, Media/Journalism/Publishing"
Brand Manager - Alexandria,Madar Group,Alexandria,Full Time,Manager,3+ Yrs of Exp,Egypt,"Microsoft Office, Business Administration, Market Research, Marketing Analytics, E-marketing, Branding, English, Creative/Design/Art"
Brand Manager AA - New Cairo,Nile Projects & Trading,New Cairo,Full Time,Manager,6-8 Yrs of Exp,Cairo,"Communication Skills, Computer Skills, Microsoft Office, Microsoft Word, Microsoft Excel, Office Management, E-marketing, Market Research"
Brokers - Online Sales Representative,VIGILANCE,Obour City,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Females Preferred, Sales Skills, Sales Target, Customer Service, Online Sales, Broker, Sales/Retail"
Budget Controller,Sima Food Industries,Cairo,Full Time,Experienced,3+ Yrs of Exp,Egypt,"CPA, Accounting, Taxation, Finance, Tax Analyst, Microsoft Excel, Tax Reporting, Tax Reports, Accountant, MS Office, Budgeting"
Business Analysis Officer,Misr Elkheir Foundation,Mokattam,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Excel, Finance, Accounting/Finance, Business Development, Analyst/Research"
Business Analyst,Brandshub.co,Mohandessin,Full Time,Entry Level,1-3 Yrs of Exp,Giza,"Economics, Business Administration, Statistics, English, Excel, Business Development, Pricing, Sales, Business Development"
Business Analyst,Confidential,Cairo,Part Time,Experienced,5+ Yrs of Exp,Egypt,"Business Analysis, Computer Science, SRS, IT/Software Development, Analyst/Research, Engineering - Telecom/Technology"
Business Analyst,Royal Herbs,Giza,Full Time,Entry Level,1-3 Yrs of Exp,Egypt,"Excel, Analytical Skills, Analyst/Research"
Business Analyst,Sumerge,Maadi,Full Time,Experienced,2-5 Yrs of Exp,Cairo,"Software Development, Business Analysis, Computer Science, Software Engineering, Computer Engineering, English, IT/Software Development"
Business Analyst,WebBeds,Nasr City,Full Time,Experienced,3-7 Yrs of Exp,Cairo,"Information Technology (IT), Communication Skills, Travel, Stakeholder Management, Arabic, English, Tourism, Analyst/Research"
Business Analyst,apps square,Tanta,Full Time,Entry Level,1+ Yrs of Exp,Gharbia,"Business Analysis, Information Technology (IT), Computer Science, Software Development, Analytical, UI, UX, IT/Software Development"
Business Analyst - Saudi Arabia,Leader,Riyadh,Full Time,Experienced,4+ Yrs of Exp,Saudi Arabia,"Arabic, Analyst, Information Technology (IT), English, Computer Science, IT/Software Development"
Business Analyst / Product Owner,3i Vision LTD.,Dokki,Full Time,Experienced,4-6 Yrs of Exp,Giza,"Business Analysis, Agile, Scrum, Analytical Skills, Computer Science, MIS, SQL, IT/Software Development"
Business Analyst / Product Owner,RMG,Riyadh,Part Time,Experienced,5+ Yrs of Exp,Saudi Arabia,"BRD, SRS, Agile, Information Technology (IT), Project Management, IT/Software Development, Engineering - Telecom/Technology"
Business Consultant,Ultimate Solutions Egypt,6th of October,Full Time,Entry Level,0-2 Yrs of Exp,Giza,"Business Consultant, banking system, accounting, Business Development, Finance, Management, Consultancy, Retail, Analytical"
Business Coordinator,FloraDoor,Nasr City,Full Time,Entry Level,0-3 Yrs of Exp,Cairo,"English, Communication Skills, Business Administration, Flowers, Coordinator, Customer Service, Customer Care, Customer Support"
Business Developer,HPA (Highly Professional Advisors),New Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Sales Target, English, Corporate Sales, B2B, Education, E-learning, Learning Software, Business Administration, Business Development"
Business Developer (B2B),Brand Key,Nasr City,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Digital Marketing, Market Research, E-marketing, Sales Skills, Sales Target, Communication Skills, Selling Marketing Services, English"
Business Developer Intern,Magdsoft,Nasr City,Internship,Student,0-1 Yrs of Exp,Cairo,"Business Development, Software Sales, SWE, English, Microsoft Office, Business Development, IT/Software Development, Sales/Retail"
Business Development & Digital Sales Specialist,WellGrow Training and Consulting,Maadi,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,"Business Development, Sales Target, Communication Skills, Problem Solving, Creative, Digital Sales, Business Development, Sales/Retail"
Business Development & Marketing Specialist,wnpro,Giza,Full Time,Entry Level,1-2 Yrs of Exp,Egypt,"Business Development, Marketing, Sales Skills, Business Development, Marketing/PR/Advertising"
Business Development & Marketing Specialist -...,wnpro,Giza,Full Time,Entry Level,1-2 Yrs of Exp,Egypt,"Business Development, Marketing, Sales Skills, Customer Service, Programming, Business Development, Marketing/PR/Advertising"
Business Development - Intern,VOC Apps,Maadi,Internship,Entry Level,0-1 Yrs of Exp,Cairo,"Sales Skills, Business Planning, Business Development, Market Research, Analysis, Presentation Skills, English, Communication Skills"
Business Development - Media Production,The Media,Cairo,Full Time,Experienced,2+ Yrs of Exp,Egypt,"Females Only, Sales Skills, Sales Target, English, Presentation Skills, Communication Skills, Microsoft Office, Business Development"
Business Development Advisor,Innovety,Sheikh Zayed,Full Time,Experienced,3-6 Yrs of Exp,Giza,"Sales Skills, Sales Target, Business Administration, Communication Skills, Business Development, Sales/Retail"
Business Development Consultant,Smart GYM,Nasr City,Full Time,Manager,3+ Yrs of Exp,Cairo,"Business Administration, Business Development, Sales Skills, Sales Target, Customer Support, Negotiation, Management, Digital Marketing"
Business Development Coordinator,Artemis,Maadi,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Business Development, Marketing, Sales, Customer Service, English, CRM, Communication, Business Development, Customer Service/Support"
Business Development Coordinator,Confidential,Cairo,Full Time,Entry Level,0-2 Yrs of Exp,Egypt,"Marketing, Administration, CRM, Graphic Design, Administration, Business Development, Marketing/PR/Advertising"
Business Development Engineer,Arab Consulting Engineers Moharram-Bakhoum,Dokki,Full Time,Experienced,8-15 Yrs of Exp,Giza,"Engineering, Sales, Marketing, Management, Construction, Architecture, Civil, Engineering - Construction/Civil/Architecture"
Business Development Engineer,CPAS,Heliopolis,Full Time,Experienced,8+ Yrs of Exp,Cairo,"Engineering Consultancy, Architecture, English, Engineering - Construction/Civil/Architecture, Business Development"
Business Development Engineer,Floortec,Sheikh Zayed,Full Time,Entry Level,1-5 Yrs of Exp,Giza,"Business Development, Construction, Sales Engineer, Architecture, Civil Engineering, Ready-Mix Concrete, Business Development"
Business Development Engineer,Smart Lighting,Sheraton,Full Time,Entry Level,0-2 Yrs of Exp,Cairo,"Engineering, Business Development, English, Marketing, Architecture, Engineering - Construction/Civil/Architecture, Business Development"
Business Development Executive,Confidential,Maadi,Full Time,Entry Level,1-5 Yrs of Exp,Cairo,"Business Development, Sales Skills, B2B Sales, Negotiation Skills, Communication, English, Sales Target, Business Development"
Business Development Executive,Future Group,Mohandessin,Full Time,Work From Home,1-3 Yrs of Exp,Giza,"3 Vacancies, Business Development, Sales Skills, English, Call Center, Sales Target, Communication, Negotiation Skills, Excel"
Business Development Executive,IBE Pharma,Nasr City,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Sales Skills, Negotiation, Presentation, Planning, Communication, Sales Target, Inbound Marketing, Outbound Marketing"
Business Development Executive (Software),iHorizons,Maadi,Full Time,Work From Home,3-5 Yrs of Exp,Cairo,"Business Development, Sales Skills, Communication Skills, IT, English, Computer Science, Information Technology, Sales Target"
Business Development Executive - Healthcare...,World Business Fitness,New Cairo,Full Time,Experienced,2-4 Yrs of Exp,Cairo,"Business Development, Business Analysis, Business Administration, Training, Pharmaceutical, Microsoft Office, Sales Plan"
Business Development Manager,Altayar recruitment,Riyadh,Full Time,Manager,5+ Yrs of Exp,Saudi Arabia,"Sales Skills, Business Development"
Business Development Manager,Confidential,6th of October,Full Time,Manager,5+ Yrs of Exp,Giza,"Software, Sales Skills, Sales Target, Marketing, Management, CRM, Computer Science, Planning, Business Development"
Business Development Manager,Confidential,Mohandessin,Full Time,Manager,3-7 Yrs of Exp,Giza,"Business Development, Sales Skills, B2B Sales, English, Business Development, Sales/Retail"
Business Development Manager,Egypro FME,Maadi,Full Time,Manager,8-10 Yrs of Exp,Cairo,"Sales Skills, Sales Target, Business Administration, Vendor Management, Market Knowledge, ERP, Facility, Construction"
Business Development Manager,INMA Construction,New Cairo,Full Time,Manager,5+ Yrs of Exp,Cairo,"Construction, Business Development, Sales Skills, Sales Target, Business Development, Sales/Retail"
Business Development Manager,Nahdet Misr Publishing Group,Mohandessin,Full Time,Manager,8-11 Yrs of Exp,Giza,"Business Development Management, Sales Skills, Sales Target, CRM, English, Advertising, Digital Marketing, Salesforce"
Business Development Manager,OTO Courses,Maadi,Full Time,Manager,5+ Yrs of Exp,Cairo,"Sales Target, Negotiation Skills, Communication, B2B, English, Sales Skills, Time Management, Training, Coaching, Sales/Retail"
Business Development Manager,TACC Network,Heliopolis,Full Time,Manager,3-5 Yrs of Exp,Cairo,"Sales Skills, Marketing, Management, Advertising, Communication, Negotiation, English, BDM, French, Business Development"
Business Development Manager,UNICARE Medical Care & Centers,Dokki,Full Time,Manager,3-5 Yrs of Exp,Giza,"Customer Complaints, Insurance, Sales Target, Retail, Business Development, Business Development, Sales/Retail"
Business Development Manager,ataya,Nasr City,Full Time,Manager,10-15 Yrs of Exp,Cairo,"Sales Skills, Sales Target, Microsoft Office, Communication Skills, B2B, Management, Business Development, Operations/Management"
Business Development Manager ( Construction...,Gila Electric,New Cairo,Full Time,Manager,7-10 Yrs of Exp,Cairo,"Project Management, Engineering, Sales, Engineering - Construction/Civil/Architecture, Business Development"
Business Development Manager (Steel Or...,Confidential,Dokki,Full Time,Manager,15+ Yrs of Exp,Giza,"Business Development, Sales Skills, Engineering, Construction, Building Material, Export Engineer, Steel PEB, Steel Structure, Arabic"
Business Development Manager - Fresh Agricultural...,Confidential,Cairo,Full Time,Manager,10-20 Yrs of Exp,Egypt,"Marketing, Business Administration, Negotiations, Sales Skills, Agriculture, Business Development, Sales/Retail"
Business Development Manager AA - 6th of October,Nile Projects & Trading,6th of October,Full Time,Manager,6-8 Yrs of Exp,Giza,"Communication Skills, Computer Skills, Microsoft Office, Microsoft Word, Microsoft Excel, Office Management, E-marketing, Market Research"
Business Development Representative - US Account...,Flairstech,Maadi,Full Time,Experienced,2-7 Yrs of Exp,Cairo,"Business Development, CRM, Lead Generation, Sales Skills, English, Networking, Social Media, Sales Target, Salesforce, Software"
Business Development Specialist,Concrete Plus,New Cairo,Full Time,Entry Level,1-4 Yrs of Exp,Cairo,"Engineering, Construction, Business Planning, Business Development, Engineering - Construction/Civil/Architecture, Business Development"
Business Development Specialist,Confidential,6th of October,Part Time,Freelance / Project,0-2 Yrs of Exp,Giza,"Females Preferred, Business Development, Training, Digital Marketing, Sales Skills, Sales Target, Microsoft Office, Education"
Business Development Specialist,Confidential,Heliopolis,Full Time,Experienced,2+ Yrs of Exp,Cairo,"B2B Sales, Sales Skills, Sales Target, English, Business Development, Sales/Retail"
Business Development Specialist,Confidential,Maadi,Full Time,Experienced,5+ Yrs of Exp,Cairo,"Sales Skills, Sales Target, Advertising, Social Media, Digital Marketing, SEO, Web Development, Business Administration"
Business Development Specialist,DASA,New Cairo,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Business Development, Marketing, Customer Service, Business Intelligence, Growth, Partnership, Operations, Sales Skills, Sales Target"
Business Development Specialist,Egypt Assistant,Heliopolis,Full Time,Experienced,2-5 Yrs of Exp,Cairo,"Sales Skills, Customer Service, Customer Care, Customer Support, Training, Consulting, Sales Target, Insurance, Indoor Sales"
Business Development Specialist,Equiti Group LTD,Cairo,Full Time,Entry Level,1+ Yrs of Exp,Egypt,"Sales Skills, Financial Trading, FX, Stocks, English, Business Development, Sales/Retail"
Business Development Specialist,Follk Creative Solutions,Dokki,Full Time,Experienced,3-5 Yrs of Exp,Giza,"Planning, Leads, Communication, Sales Skills, Media, Business Analysis, Animation Services, Sales Target, Sales/Retail"
Business Development Specialist,Horeca Star,Cairo,Full Time,Entry Level,1+ Yrs of Exp,Egypt,"Business Development, Microsoft Office, Sales Skills, Sales Target, Communication, English, Business Development, Sales/Retail"
Business Development Specialist,Immigration Gates,Sheikh Zayed,Full Time,Experienced,2-5 Yrs of Exp,Giza,"Microsoft Office, Communication Skills, B2B, Analysis, Sales Skills, Microsoft Excel, Sales Target, Computer Skills"
Business Development Specialist,MTS Logistics,Cairo,Full Time,Experienced,2+ Yrs of Exp,Egypt,"Sales Skills, Logistics, Sales Target, Arabic, English, Fright Forwarding, MS Office, Business Development, Sales/Retail"
Business Development Specialist,SHNAG Architects,Giza,Full Time,Experienced,2-5 Yrs of Exp,Egypt,"Customer Support, Customer Care, Architecture, Design, Sales Skills, Sales Target, Construction, Adobe Photoshop, English"
Business Development Specialist,TIARA Ventures,Nasr City,Full Time,Experienced,2-6 Yrs of Exp,Cairo,"Females Preferred, Business Development, Account Management, Negotiation, Sales Skills, Advertising, Marketing, English, Sales Target"
Business Development Specialist,Talent 360,Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Egypt,"Sales Skills, Marketing, Sales Target, Communication Skills, Business Development, Marketing/PR/Advertising"
Business Development Specialist,Transtec Translation,Nasr City,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Business Development, Sales Target, Localization, English, Business Development, Sales/Retail"
Business Development Specialist - Lighting Field,Electro,Cairo,Full Time,Experienced,3-5 Yrs of Exp,Egypt,"Business Development, Architecture, Engineering, Sales Skills, Engineering - Construction/Civil/Architecture, Business Development"
Business Development Specialist / Sales Account...,YDS yasar digital services,Sheikh Zayed,Full Time,Experienced,3+ Yrs of Exp,Giza,"Business Development, Sales Skills, Sales Target, Outdoor Sales, CRM, ERP, Business Development, Sales/Retail"
Business Development Supervisor,Nahdet Misr Publishing Group,Mohandessin,Full Time,Experienced,4-6 Yrs of Exp,Giza,"Business Administration, Sales Target, CRM, Business Development, Sales/Retail"
Business Excellence Manager,e-finance,6th of October,Full Time,Manager,10-12 Yrs of Exp,Giza,"Sales, Communication Skills, Microsoft Excel, Microsoft Office, Business Development, Management, Six Sigma, Accounting/Finance"
Business Manager,Fawry Microfinance,Cairo,Full Time,Manager,6+ Yrs of Exp,Egypt,"Microsoft Word, Microsoft PowerPoint, Microsoft Excel, Microsoft Office, Computer Skills, Banking, Business Analysis, Risk Management"
Business Manager / B2B Industry Sector,Cepack,10th of Ramadan City,Full Time,Manager,8-10 Yrs of Exp,Sharqia,"Sales Skils, Sales Target, Business Management, Business Administration, Commerce, CRM, Sales B2B, Sales Skills, Business Development"
Business Solutions Salesperson,B2B Plus- Orange Authorized Agent,Dokki,Full Time,Entry Level,1-3 Yrs of Exp,Giza,"Business Development, Sales Skills, Business Solutions, Customer Service, Customer Support, Communication Skills, M2M, Sales/Retail"
Business Specialist/Account Data Coordinator,Vivo,Riyadh,Full Time,Entry Level,1-4 Yrs of Exp,Saudi Arabia,"Computer Skills, Business Development, Logistics, Distribution, Pharma, Retail, Consumer Goods, Administration, Business Development"
Business Strategist - Saudi Arabia - Riyadh,Enwan,Riyadh,Full Time,Entry Level,1-3 Yrs of Exp,Saudi Arabia,"Entrepreneurship, Agile, Software Development, Information Technology (IT), Startup, Computer Science, Business Administration"
Business System Analyst,siParadigm Egypt,Sheraton,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Computer Science, Information Technology (IT), Software Development, Business Analysis, Agile, IIBA-AAC, CBAP, CCBA, English"
"Business Unit Manager (French Speaker, West...",Adamco Pharm,Cairo,Full Time,Manager,7-20 Yrs of Exp,Egypt,"Trading & Commodity Trading, Management, Marketing, Drugs, French, Sales Skills, Sales Target, Business Development"
Business development Executive Architect,MHK Architects,New Cairo,Full Time,Experienced,2-5 Yrs of Exp,Cairo,"Business Development, Architecture, Engineering, Presentation Skills, Negotiation, Engineering - Construction/Civil/Architecture"
C++/Rust Developer,VA Computing Egypt,New Cairo,Full Time,Experienced,3+ Yrs of Exp,Cairo,"C++, Rust, Computer Engineering, Computer Science, English, Google Cloud, Azure, NoSQL, AWS, Software Engineering, IT"
CAD Draftsman,Target Recruitment & HR Solutions,Cairo,Full Time,Experienced,7-10 Yrs of Exp,Egypt,"3D, Design, Architecture, Engineering, English, Computer Skills, Office 360, 3D Max, AutoCAD MEP, Creative/Design/Art"
CAD Engineer,Biobusiness,Haram,Full Time,Experienced,2-5 Yrs of Exp,Giza,"AutoCAD, SolidWorks, 3D, 3D Modeling, Plastic Part Design, Sheet Metal, Modeling Software, Creative/Design/Art"
CEO Assistant,Prime International School,New Cairo,Full Time,Experienced,1-5 Yrs of Exp,Cairo,"Administration, Secretary, Administration"
CEO Assistant & Office Manager,CNS Group,Heliopolis,Full Time,Experienced,4-10 Yrs of Exp,Cairo,"Females Only, Microsoft Office, Office Management, Secretary, Logistics, English, Office Administration, Administration"
CEO Assistant & Office Manager,health tech group,New Cairo,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Administration, Office Management, Secretary, Microsoft Office, Communication Skills, Front Desk, Administration"
CEO Executive Assistant,Confidential,Sheikh Zayed,Full Time,Experienced,5-8 Yrs of Exp,Giza,"Executive Assistant, Administration, Secretary, Personal Assistant, Assistant CEO, Microsoft Office, Office Management, English"
CEO Executive Assistant,Infinity Clinic Pharma,Nasr City,Full Time,Experienced,5-8 Yrs of Exp,Cairo,"Administration, Administration"
CEO Office Manager,Black Ball Sporting Club,New Cairo,Full Time,Experienced,2-4 Yrs of Exp,Cairo,"Office Management, Administration, Administration, Operations/Management, C-Level Executive/GM/Director"
CEO Office Manager,Confidential,Giza,Full Time,Experienced,4-10 Yrs of Exp,Egypt,"Administration, Office Management, Marketing Agencies, English, Administration"
CEO Personal Assistant,Confidential,Maadi,Full Time,Experienced,10+ Yrs of Exp,Cairo,"Administration, Office Management, Microsoft Office, Communication Skills, Assistance, Customer Focus, Accountability, MS Office"
CEO Personal Assistant,First Group,Mohandessin,Full Time,Experienced,4-5 Yrs of Exp,Giza,"Computer Skills, Arabic, English, Business Administration, Administration, Operations/Management"
CEO Personal Assistant,IFSM,Alexandria,Full Time,Experienced,2+ Yrs of Exp,Egypt,"Administration, Office Management, Microsoft Office, Administration"
CEO Secretary / Office Manager,Arab Consulting Engineers Moharram-Bakhoum,Dokki,Full Time,Experienced,8+ Yrs of Exp,Giza,"Office Management, Secretary, Microsoft Office, Communication Skills, IT Skills, Administration"
CIVAS Pharmacist (IV Mixing),Andalusia Group,Maadi,Full Time,Entry Level,0-1 Yrs of Exp,Cairo,"Pharmacy, Medicine, IV Mixing, CIVAS, IV, Healthcare, Pharmaceutical, Medical/Healthcare, Pharmaceutical"
CNC Production Engineer,ataya,10th of Ramadan City,Full Time,Experienced,2-5 Yrs of Exp,Cairo,"CNC, Mechanical Engineering, SolidWorks, Communication Skills, CAD/CAM, 3D CAD, Manufacturing/Production"
CRM Agent - Alexandria,Wham Clinics,Sidi Bishr,Full Time,Shift Based,1-3 Yrs of Exp,Alexandria,"Females Only, Customer Service, Customer Care, Call Center, Customer Support, Communication Skills, CRM, Customer Service/Support"
CRM Consultant,Xceed,Maadi,Full Time,Work From Home,2+ Yrs of Exp,Cairo,"Information Technology (IT), Computer Science, IT, Configuring, Computer Software, English, Customer Support, CRM, C#, SQL"
CRM Officer,Gila Electric,Downtown,Full Time,Experienced,2+ Yrs of Exp,Cairo,"CRM, Call Center, Customer Service, Customer Care, Customer Support, Communication Skills, Analysis, Presentation Skills, Odoo"
CTD /E-CTD Pharmaceutical Files Specialist,Pharmaceutical Egyptian Association,Heliopolis,Full Time,Experienced,2-3 Yrs of Exp,Cairo,"Regulatory Affairs, E-CTD, Science, Communication Skills, English, Computer Skills, R&D/Science, Pharmaceutical"
Calibration Lab Keeper,TAG Egypt,6th of October,Full Time,Entry Level,1+ Yrs of Exp,Giza,"Calibration, Office Management, Lab Keeper, Chemistry, Physics, Microsoft Office, R&D/Science, Other"
Call Center Agent,Air Gate,Mohandessin,Full Time,Experienced,2-3 Yrs of Exp,Giza,"Customer Service, Call Center, Customer Care, Customer Support, Customer Service/Support"
Call Center Agent,Allamna Integrated Solutions,Nasr City,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,"Call Center, Customer Support, Customer Care, Communication, Microsoft Office, CRM, Customer Service/Support"
Call Center Agent,Engineering Group,New Cairo,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,"Customer Care, Customer Support, Call Center, Elevators, Sales Skills, Communication Skills, Customer Service/Support"
Call Center Agent,First Group,Mohandessin,Full Time,Entry Level,1-3 Yrs of Exp,Giza,"Males Only, Customer Service, Call Center, Customer Support, Customer Care, Communication Skills, Customer Service/Support"
Call Center Agent,Foodak,Mohandessin,Full Time,Entry Level,0-3 Yrs of Exp,Giza,"Call Center, Customer Support, Customer Service, Customer Care, Communication Skills, English, Computer Skills"
Call Center Agent,Lasirena Group,Maadi,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,"Customer Service, English, Communication Skills, Customer Support, Customer Care, Customer Service/Support"
Call Center Agent,Leadintop,Maadi,Full Time,Part Time,null Yrs of Exp,Cairo,"8 Vacancies, Customer Service, Call Center, Customer Support, Customer Care, Communication Skills, Customer Service/Support"
